time,value,sigma,name,global,n,condition
15,6.27462,0.039768197436709,op,sp_mutB,2,spB_5.9
15,8.33418,0.0528215757223972,op,sp_mutB,2,spB_7.8
15,10.24114,0.0649077835864592,op,sp_mutB,2,spB_11
15,11.81369,0.0748745192186674,op,sp_mutB,2,spB_12
15,13.69022,0.0867678634167013,op,sp_mutB,2,spB_14
15,17.49904,0.110907955637284,op,sp_mutB,2,spB_19
15,0.13612,0.00303869583777818,opf,sp_mutB,2,spB_1.4
15,0.30986,0.00632770674754044,opf,sp_mutB,2,spB_2.2
15,0.36859,0.007475395381411,opf,sp_mutB,2,spB_2.5
15,0.6325,0.0126854584758327,opf,sp_mutB,2,spB_4.4
15,0.85808,0.0171640515999286,opf,sp_mutB,2,spB_5.3
15,0.993,0.0198468888900386,opf,sp_mutB,2,spB_5.9
15,1.25809,0.0251227106853584,opf,sp_mutB,2,spB_7.8
15,1.59569,0.0318463831718713,opf,sp_mutB,2,spB_11
15,1.71387,0.0342007975159661,opf,sp_mutB,2,spB_12
15,1.7432,0.0347851601968422,opf,sp_mutB,2,spB_14
15,1.89872,0.037883933732447,opf,sp_mutB,2,spB_19
15,0.06841,0.00354097611749608,oz,sp_mutB,2,spB_1.4
15,0.16943,0.00783364779046985,oz,sp_mutB,2,spB_2.2
15,0.18195,0.00838488958706986,oz,sp_mutB,2,spB_2.5
15,0.24549,0.0112027117094643,oz,sp_mutB,2,spB_4.4
15,0.31564,0.0143351279428839,oz,sp_mutB,2,spB_5.3
15,0.36586,0.0165845940127728,oz,sp_mutB,2,spB_5.9
15,0.39544,0.0179112540033367,oz,sp_mutB,2,spB_7.8
15,0.34711,0.0157442545682144,oz,sp_mutB,2,spB_11
15,0.3247,0.0147406181957402,oz,sp_mutB,2,spB_12
15,0.28966,0.0131733706946065,oz,sp_mutB,2,spB_14
15,0.24022,0.0109680842526514,oz,sp_mutB,2,spB_19
15,0.2858,0.0461300061088873,opf,dpq_WT,1,dpqB_0.07
15,0.50013,0.0332566185180065,opf,dpq_WT,2,dpqB_0.27
15,0.54662,0.033438603023186,opf,dpq_WT,2,dpqB_0.35
15,0.59377,0.0336385372623601,opf,dpq_WT,2,dpqB_0.55
15,0.6226,0.0337682949330521,opf,dpq_WT,2,dpqB_1.09
15,0.61882,0.0477310660897219,opf,dpq_WT,1,dpqB_1.75
15,0.62202,0.0275695205303162,opf,dpq_WT,3,dpqB_2.19
15,0.62346,0.0337722522373554,opf,dpq_WT,2,dpqB_3.5
15,0.59898,0.0476046452596137,opf,dpq_WT,1,dpqB_4.38
15,0.60408,0.0336842908724277,opf,dpq_WT,2,dpqB_8.75
15,0.63192,0.0239083035948566,opf,dpq_WT,4,dpqB_17.5
15,0.55295,0.0273236916256731,opf,dpq_WT,3,dpqB_87.5
15,0.0545,0.0188696638107729,oz,dpq_WT,1,dpqB_0.07
15,0.18135,0.0168576453289303,oz,dpq_WT,2,dpqB_0.27
15,0.21843,0.0183514433410186,oz,dpq_WT,2,dpqB_0.35
15,0.31336,0.0227132002865668,oz,dpq_WT,2,dpqB_0.55
15,0.36069,0.0250814900488581,oz,dpq_WT,2,dpqB_1.09
15,0.39227,0.0377742668491561,oz,dpq_WT,1,dpqB_1.75
15,0.35005,0.0200374658518676,oz,dpq_WT,3,dpqB_2.19
15,0.34602,0.0243371586200838,oz,dpq_WT,2,dpqB_3.5
15,0.31792,0.0324377226018889,oz,dpq_WT,1,dpqB_4.38
15,0.29728,0.0219328782949462,oz,dpq_WT,2,dpqB_8.75
15,0.24979,0.0139440376744503,oz,dpq_WT,4,dpqB_17.5
15,0.10045,0.011641701741476,oz,dpq_WT,3,dpqB_87.5
0,4,0.145979234301393,op,dpq_WT,2,dpqB_0.07
0,4,0.145979234301393,op,dpq_WT,2,dpqB_0.27
0,4,0.145979234301393,op,dpq_WT,2,dpqB_0.35
0,4,0.145979234301393,op,dpq_WT,2,dpqB_0.55
0,4,0.145979234301393,op,dpq_WT,2,dpqB_1.09
0,4,0.145979234301393,op,dpq_WT,2,dpqB_1.75
0,4,0.145979234301393,op,dpq_WT,2,dpqB_2.19
0,4,0.145979234301393,op,dpq_WT,2,dpqB_3.5
0,4,0.145979234301393,op,dpq_WT,2,dpqB_4.38
0,4,0.145979234301393,op,dpq_WT,2,dpqB_8.75
0,4,0.145979234301393,op,dpq_WT,2,dpqB_17.5
0,4,0.145979234301393,op,dpq_WT,2,dpqB_87.5
15,1.5902120474,0.0738996765301294,op,dpq_WT,3,dpqWT_17.5
15,1.6669711132,0.0749898195198204,op,dpq_WT,3,dpqWT_8.75
15,1.7423570832,0.0760941943202152,op,dpq_WT,3,dpqWT_4.38
15,1.9127415726,0.0787059554208792,op,dpq_WT,3,dpqWT_2.19
15,2.7735866104,0.0938808522974012,op,dpq_WT,3,dpqWT_1.09
15,0.6227604219,0.0275722997716683,opf,dpq_WT,3,dpqWT_17.5
15,0.5937249824,0.0274655888432105,opf,dpq_WT,3,dpqWT_8.75
15,0.5891555459,0.0274492225853495,opf,dpq_WT,3,dpqWT_4.38
15,0.6139587708,0.0275394580176872,opf,dpq_WT,3,dpqWT_2.19
15,0.7878435718,0.0282657463345097,opf,dpq_WT,3,dpqWT_1.09
15,2.0851980338,0.101962275058973,oz,dpq_WT,3,dpqWT_17.5
15,2.0141873963,0.0985279324938222,oz,dpq_WT,3,dpqWT_8.75
15,1.9990413775,0.0977955892386449,oz,dpq_WT,3,dpqWT_4.38
15,1.6903892636,0.0828881087848055,oz,dpq_WT,3,dpqWT_2.19
15,0.946927131,0.0472503886774972,oz,dpq_WT,3,dpqWT_1.09
0,4.4,0.15678610717796,op,dpq_WT,2,dpqWT_17.5
0,4.4,0.15678610717796,op,dpq_WT,2,dpqWT_8.75
0,4.4,0.15678610717796,op,dpq_WT,2,dpqWT_4.38
0,4.4,0.15678610717796,op,dpq_WT,2,dpqWT_2.19
0,4.4,0.15678610717796,op,dpq_WT,2,dpqWT_1.09
